questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,audioFileName,imageFileName
1,Listen and Response,보통,Module 2,,,The school assembly was very engaging.,,,,Choose the best response.,I've never attended one before.,I really enjoyed it too.,The assembly is scheduled for next week.,The principal spoke for a long time.,I really enjoyed it too.,,,
2,Listen and Response,보통,Module 2,,,Any idea where the new science library is?,,,,Choose the best response.,It's next to the main quad.,The old library is being renovated.,You can borrow books online now.,I haven't studied there yet.,It's next to the main quad.,,,
3,Listen and Response,보통,Module 2,,,I was sure the professor mentioned an optional assignment.,,,,Choose the best response.,I always take notes in class.,"Yeah, I remember hearing that too.",The syllabus is on the course website.,The professor is very organized.,"Yeah, I remember hearing that too.",,,
4,Short Conversation,보통,Module 2,Conversation: Medical Checkup,,"Man: Hey, how was your checkup?
Woman: Get a load of this, Tom. The doctor said I need to exercise more.
Man: Really? You? Didn't you run a marathon last year?
Woman: Three of them. I have never been in better shape.
Man: So why would your doctor say something like that?
Woman: I think she was distracted and maybe confused me with another patient. But when I called her out on it, she insisted that she was right.
Man: Time to find a new doctor.
Woman: Agreed.",,,,What is the woman's reaction to her doctor's advice?,She agrees she needs to exercise more.,She wants to start a new training program.,She is surprised because she is already very fit.,She is worried about her health.,She is surprised because she is already very fit.,,,
5,Short Conversation,보통,Module 2,Conversation: Medical Checkup,,"Man: Hey, how was your checkup?
Woman: Get a load of this, Tom. The doctor said I need to exercise more.
Man: Really? You? Didn't you run a marathon last year?
Woman: Three of them. I have never been in better shape.
Man: So why would your doctor say something like that?
Woman: I think she was distracted and maybe confused me with another patient. But when I called her out on it, she insisted that she was right.
Man: Time to find a new doctor.
Woman: Agreed.",,,,What does the man suggest at the end of the conversation?,The woman should train harder.,The woman should find a new doctor.,The woman should apologize to her doctor.,The woman should schedule another appointment.,The woman should find a new doctor.,,,
6,Short Conversation,보통,Module 2,Conversation: Bicycle Rental,,"Woman: My parents are visiting a few days before graduation weekend, and I am thinking about renting bikes for us to explore the city. They are both in good shape, but they are a little older. Do you think they could handle it?
Man: It is pretty flat here, so it is easy riding. The thing is, some intersections get pretty busy, so they will need to be careful at the traffic lights.
Woman: Yeah, like where Main Street meets George Street. Have you looked into rental prices?
Man: Yeah, there is a place near the university that offers hourly rentals. They are always very busy.
Woman: Then you had better get on it.",,,,What concern does the woman have about renting bikes for her parents?,The bikes may be too expensive.,There aren't enough rental shops nearby.,Whether her parents can handle the ride.,The weather may not be suitable.,Whether her parents can handle the ride.,,,
7,Short Conversation,보통,Module 2,Conversation: Bicycle Rental,,"Woman: My parents are visiting a few days before graduation weekend, and I am thinking about renting bikes for us to explore the city. They are both in good shape, but they are a little older. Do you think they could handle it?
Man: It is pretty flat here, so it is easy riding. The thing is, some intersections get pretty busy, so they will need to be careful at the traffic lights.
Woman: Yeah, like where Main Street meets George Street. Have you looked into rental prices?
Man: Yeah, there is a place near the university that offers hourly rentals. They are always very busy.
Woman: Then you had better get on it.",,,,What does the man say about the bike rental shop?,It offers deep discounts for students.,It has limited hours during weekends.,It is very popular and often busy.,It is a long walk from campus.,It is very popular and often busy.,,,
8,Academic Talk,보통,Module 2,Talk: Permafrost Microbes,,"Speaker: In the Arctic tundra, permafrost is a soil layer that has remained frozen for thousands of years. As global temperatures rise, permafrost thaws and dormant microbes become active. These microbes decompose organic material and release greenhouse gases such as carbon dioxide and methane. Permafrost stores roughly twice as much carbon as the atmosphere, so researchers use sophisticated models and data about microbial species to understand the feedback loops and the possible rise in atmospheric greenhouse gases.",,,,What is the main focus of the talk?,How microbes survive in cold environments.,How thawing permafrost releases greenhouse gases.,The history of Arctic exploration.,The role of the ocean in climate change.,How thawing permafrost releases greenhouse gases.,,,
9,Academic Talk,보통,Module 2,Talk: Permafrost Microbes,,"Speaker: In the Arctic tundra, permafrost is a soil layer that has remained frozen for thousands of years. As global temperatures rise, permafrost thaws and dormant microbes become active. These microbes decompose organic material and release greenhouse gases such as carbon dioxide and methane. Permafrost stores roughly twice as much carbon as the atmosphere, so researchers use sophisticated models and data about microbial species to understand the feedback loops and the possible rise in atmospheric greenhouse gases.",,,,What happens when permafrost thaws?,Dormant microbes become active.,The soil becomes more fertile.,Ice caps expand.,The Arctic loses more biodiversity.,Dormant microbes become active.,,,
10,Academic Talk,보통,Module 2,Talk: Permafrost Microbes,,"Speaker: In the Arctic tundra, permafrost is a soil layer that has remained frozen for thousands of years. As global temperatures rise, permafrost thaws and dormant microbes become active. These microbes decompose organic material and release greenhouse gases such as carbon dioxide and methane. Permafrost stores roughly twice as much carbon as the atmosphere, so researchers use sophisticated models and data about microbial species to understand the feedback loops and the possible rise in atmospheric greenhouse gases.",,,,What greenhouse gases do the microbes release?,Oxygen and hydrogen.,Nitrogen and ozone.,Carbon dioxide and methane.,Sulfur and helium.,Carbon dioxide and methane.,,,
