questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,audioFileName,imageFileName
1,Listen and Response,보통,Module 1,,,How long is the bus ride to the regional debate finals?,,,,Choose the best response.,About two hours.,This weekend.,It was expensive.,As far as I know.,About two hours.,,,
2,Listen and Response,보통,Module 1,,,The restaurant has a great ambiance.,,,,Choose the best response.,The dining hall is open on Sundays.,I've never been inside.,His parties are always festive.,I'll do it first thing after class tomorrow.,I've never been inside.,,,
3,Listen and Response,보통,Module 1,,,Where can I find the study materials?,,,,Choose the best response.,It was yesterday.,"Yes, please do that.",I don't have a preference.,They're right here.,They're right here.,,,
4,Listen and Response,보통,Module 1,,,I thought the professor said the exam would be cumulative.,,,,Choose the best response.,The results are usually posted online.,"Yes, it was rescheduled for next week.",I've checked and the numbers don't add up.,"No, it covers only the most recent units.","No, it covers only the most recent units.",,,
5,Listen and Response,보통,Module 1,,,The nature hike starts at 7 a.m.,,,,Choose the best response.,We should leave our dorm early to get there on time.,There is a park near the campus.,That's great. I love hiking in the evening.,What is the nature of your visit?,We should leave our dorm early to get there on time.,,,
6,Listen and Response,보통,Module 1,,,The doctor recommends regular exercise.,,,,Choose the best response.,That store is having a sale.,I need to finish my report.,"Yes, I'll start going to the gym before my morning classes.",Let's meet for lunch tomorrow.,"Yes, I'll start going to the gym before my morning classes.",,,
7,Listen and Response,보통,Module 1,,,Are you joining us for dinner tonight?,,,,Choose the best response.,They are joined at the hip.,Dinner is at seven p.m.,The dining hall is wonderful.,I need to check my schedule first.,I need to check my schedule first.,,,
8,Listen and Response,보통,Module 1,,,I hear that the local gym has new equipment.,,,,Choose the best response.,The equipment goes in the back.,The student rec center is closed.,I don't think that's a good idea.,We'll have to check it out.,We'll have to check it out.,,,
9,Listen and Response,보통,Module 1,,,When is the Student Government Forum starting?,,,,Choose the best response.,She registered in advance.,It's scheduled to last two hours.,The main auditorium.,Friday morning.,Friday morning.,,,
10,Listen and Response,보통,Module 1,,,The bookstore has a section on self-help books.,,,,Choose the best response.,Help yourself to some drinks and appetizers.,"I know, I found it during my last visit.",Help yourself to free pamphlets at the student union.,He keeps a book containing his grandmother's best recipes.,"I know, I found it during my last visit.",,,
11,Listen and Response,보통,Module 1,,,What can I help you with?,,,,Choose the best response.,It would be my pleasure.,I still have a lot to do for my history presentation.,"Sure, I can do it later.",My advisor has been very helpful.,I still have a lot to do for my history presentation.,,,
12,Listen and Response,보통,Module 1,,,What's the best way to reach customer service?,,,,Choose the best response.,The student bookstore should have it.,The customer is always right.,I usually call them directly.,"It's very bright in here, isn't it?",I usually call them directly.,,,
13,Short Conversation,보통,Module 1,Conversation: The Wave Restaurant,,"Narrator: Listen to a conversation.
Woman: I have great news. I was able to reserve The Wave Restaurant for the theater program's awards night.
Man: The Wave? How did you pull that off? That place usually has a wait list as long as the phone book.
Woman: It was easy. The manager helped us get a private room. Do you remember Chloe? She was in the theater program here two or three years ago.
Man: Oh, that's terrific. The program sure has some dedicated alumni.
Woman: It really does.",,,,Why is the man surprised?,Attendance at an event was higher than expected.,He has been asked to host an awards ceremony.,An event location will need to be changed.,The woman was able to get a reservation at a restaurant.,The woman was able to get a reservation at a restaurant.,,,
14,Short Conversation,보통,Module 1,Conversation: The Wave Restaurant,,"Narrator: Listen to a conversation.
Woman: I have great news. I was able to reserve The Wave Restaurant for the theater program's awards night.
Man: The Wave? How did you pull that off? That place usually has a wait list as long as the phone book.
Woman: It was easy. The manager helped us get a private room. Do you remember Chloe? She was in the theater program here two or three years ago.
Man: Oh, that's terrific. The program sure has some dedicated alumni.
Woman: It really does.",,,,How does the woman know Chloe?,Chloe has won awards for her acting.,Chloe studied in the same program that the woman is studying in.,Chloe served her when the woman was a customer at The Wave Restaurant.,Chloe is the director of the university's theater program.,Chloe studied in the same program that the woman is studying in.,,,
15,Short Conversation,보통,Module 1,Conversation: Crumpets,,"Narrator: Listen to a conversation.
Man: Hi, Laura. Did you go to your cooking class yesterday?
Woman: We learned how to make crumpets.
Man: What's a crumpet?
Woman: It's a bread that you make in a pan or on a griddle. They're like English muffins.
Man: Oh, I know all about English muffins. They're great with butter and jam.
Woman: I like mine with honey, or I'll use them to make sandwiches for lunch.
Man: Well, maybe I should give crumpets a try.
Woman: I'll show you how to make them.
Man: Yes, let's do it.",,,,What does the woman compare crumpets to?,Pans and griddles.,Butter and jam.,English muffins.,Sandwiches.,English muffins.,,,
16,Short Conversation,보통,Module 1,Conversation: Crumpets,,"Narrator: Listen to a conversation.
Man: Hi, Laura. Did you go to your cooking class yesterday?
Woman: We learned how to make crumpets.
Man: What's a crumpet?
Woman: It's a bread that you make in a pan or on a griddle. They're like English muffins.
Man: Oh, I know all about English muffins. They're great with butter and jam.
Woman: I like mine with honey, or I'll use them to make sandwiches for lunch.
Man: Well, maybe I should give crumpets a try.
Woman: I'll show you how to make them.
Man: Yes, let's do it.",,,,How does the man feel about trying crumpets?,Regretful.,Enthusiastic.,Doubtful.,Anxious.,Enthusiastic.,,,
17,Short Conversation,보통,Module 1,Conversation: Boutique,,"Narrator: Listen to a conversation.
Woman: Hey, Megan, did you check out that new boutique on Andre Avenue yet?
Man: I did yesterday, actually. It was packed, but their summer collection is stunning: floral prints, skirts, and even some vintage hats.
Woman: Sounds like a fashion treasure hunt. Did you end up getting anything?
Man: After trying on five dresses and debating with the sales clerk about sizes, I finally settled on a lightweight blue one. It was the last in stock.
Woman: Lucky find. Hope it wasn't too pricey.
Man: Let's just say my bank account is greatly reduced. Still, my friends are going to be jealous.",,,,What are the speakers mainly discussing?,A dress for an upcoming event.,A new clothing shop.,An online store.,A new fashion magazine.,A new clothing shop.,,,
