questionNumber,questionType,difficulty,level,day,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,context
1,Build a Sentence,보통,1,01,,,,,,Make an appropriate sentence.,,,,,What time are you planning to arrive,,I'm going to attend the grand opening of the new student center this weekend.
2,Build a Sentence,보통,1,01,,,,,,Make an appropriate sentence.,,,,,I have never been interested in those types of events,,Are you planning to attend the English language learning conference next month?
3,Build a Sentence,보통,1,01,,,,,,Make an appropriate sentence.,,,,,Can you tell me if any of the messages were important,,A biology professor sent us three emails this morning.
4,Build a Sentence,보통,1,01,,,,,,Make an appropriate sentence.,,,,,Someone else had checked it out so it was not available,,Did you manage to find the book you were looking for at the library?
5,Build a Sentence,보통,1,01,,,,,,Make an appropriate sentence.,,,,,Do you know how many weeks it will be there?,,A temporary art exhibition is opening at the campus museum today.
6,Build a Sentence,보통,1,01,,,,,,Make an appropriate sentence.,,,,,Can you tell me whether the data is reliable,,What did you think about our group report on climate change?
7,Build a Sentence,보통,1,01,,,,,,Make an appropriate sentence.,,,,,Do you know if the presentation materials are available online,,A biology seminar on Thursday was very informative.
8,Build a Sentence,보통,1,01,,,,,,Make an appropriate sentence.,,,,,Do you know if the agenda has been sent out,,Are you attending the student council meeting tomorrow?
9,Build a Sentence,보통,1,01,,,,,,Make an appropriate sentence.,,,,,Where can I buy a copy for myself?,,I just finished reading this fascinating book for class.
10,Build a Sentence,보통,1,01,,,,,,Make an appropriate sentence.,,,,,Could you let me know if the trip is for business or leisure,,What places should I visit in New York during our semester break?
11,Write an Email,보통,1,01,,"To: Mr. Evans
Subject: Printer Malfunction Issues",,,"Write an email to the IT manager, Mr. Evans. In your email, do the following:
• Describe the issues you are experiencing with the printer.
• Explain how these issues are affecting your work.
• Suggest a possible solution to the problem.
Write as much as you can and in complete sentences.",,,,,,,You are a student who works in the Office of Readmissions and have noticed that the office printer frequently malfunctions. You want to report this problem to the university's IT department and suggest a solution.
12,Academic Discussion,보통,1,01,,"Dr. Diaz: We've been discussing the role of literature in shaping societal values. Literature, which includes plays, poetry, and novels, can reflect and influence the beliefs and behaviors of a society. Some argue that literature is a powerful tool that can be used to inspire positive social change. But critics believe that literature's impact is limited compared to other forms of media. Do you think literature plays a significant role in shaping societal values? Why or why not?

Andrew: Literature plays a significant role in shaping societal values because it gives people a unique opportunity to perceive and think about the feelings of others. Through storytelling it can inspire empathy and provoke critical thinking about social issues. Books have historically influenced movements and brought awareness to important causes.

Claire: While literature has some impact, other forms of media like television and social media are more influential in shaping societal values today. These platforms reach a broader audience and can quickly spread ideas and trends. Most people prefer these newer forms of media because they are less challenging than literary works are.",,,,"Your professor is teaching a class on literature. Write a post responding to the professor's question.
In your response, you should do the following:
• Express and support your opinion.
• Make a contribution to the discussion in your own words.
An effective response will contain at least 100 words.",,,,,,,
