questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,audioFileName,imageFileName
1,Listen and Response,보통,Module 2,,,Can you tell me more about the new attendance policy?,,,,Choose the best response.,Parking policy requires everyone to park in assigned spaces on campus.,All of the best actors were in attendance.,Attendance this semester will count toward your final grade.,He refused to tell me what he was thinking about the new office.,Attendance this semester will count toward your final grade.,,,
2,Listen and Response,보통,Module 2,,,Who will present the research findings?,,,,Choose the best response.,Professor Li didn't come to class today.,Just a brief summary.,They had two weeks to prepare.,Lisa would do a great job.,Lisa would do a great job.,,,
3,Listen and Response,보통,Module 2,,,How come the professor decided on such a tight deadline?,,,,Choose the best response.,I think he wanted to challenge us.,It's in the first chapter of the textbook.,I haven't been to his office hours yet.,"No, the deadline is today.",I think he wanted to challenge us.,,,
4,Short Conversation,보통,Module 2,Conversation: Computer Virus,,"Narrator: Listen to a conversation.
Woman: Did you get your computer issues sorted out?
Man: Yes. The technician said it was a pretty nasty virus, but he removed it and reinstalled a few programs.
Woman: That's good. I'm glad it worked out.
Man: It's running better now. I did lose a few important files, though. I guess I should have backed them up to the cloud.",,,,What was the problem with the woman's computer?,A hard drive was corrupted.,A virus caused some damage.,A battery would not charge.,A program was slowing down the system.,A virus caused some damage.,,,
5,Short Conversation,보통,Module 2,Conversation: Computer Virus,,"Narrator: Listen to a conversation.
Woman: Did you get your computer issues sorted out?
Man: Yes. The technician said it was a pretty nasty virus, but he removed it and reinstalled a few programs.
Woman: That's good. I'm glad it worked out.
Man: It's running better now. I did lose a few important files, though. I guess I should have backed them up to the cloud.",,,,What does the woman regret?,Losing some passwords.,Not backing up some files.,Spending too much money on repairs.,Not making a repair sooner.,Not backing up some files.,,,
6,Short Conversation,보통,Module 2,Conversation: Restaurant and Camping,,"Narrator: Listen to a conversation.
Woman: Have you checked out the new restaurant downtown? The sushi is made by an award-winning chef and is absolutely top-notch.
Man: I'd love to, but I'm saving money for a vacation.
Woman: Do you have specific plans?
Man: Not yet, but I'd love to spend a month somewhere in nature.
Woman: Have you considered a camping trip? You could just pack a tent and a sleeping bag into your car and travel around the mountains while sleeping at campsites. No need for hotels or plane tickets.
Man: Well, I do love a comfortable bed at the end of an eventful day.",,,,What does the man imply about a restaurant?,He really likes its sushi.,Its location is inconvenient for him.,Its chef deserves an award.,It is too expensive for him.,It is too expensive for him.,,,
7,Short Conversation,보통,Module 2,Conversation: Restaurant and Camping,,"Narrator: Listen to a conversation.
Woman: Have you checked out the new restaurant downtown? The sushi is made by an award-winning chef and is absolutely top-notch.
Man: I'd love to, but I'm saving money for a vacation.
Woman: Do you have specific plans?
Man: Not yet, but I'd love to spend a month somewhere in nature.
Woman: Have you considered a camping trip? You could just pack a tent and a sleeping bag into your car and travel around the mountains while sleeping at campsites. No need for hotels or plane tickets.
Man: Well, I do love a comfortable bed at the end of an eventful day.",,,,What does the man imply when he mentions a bed?,He loves sleeping in his sleeping bag at campsites.,He is saving money for a new bed in his home.,Some hotels are not very comfortable.,He is unenthusiastic about the woman's idea.,He is unenthusiastic about the woman's idea.,,,
8,Academic Talk,보통,Module 2,Talk: Urban Green Spaces,,"Professor: Listen to a talk in an environmental science class.
Professor: Today, we're revisiting the topic of urban green spaces, green areas in cities like parks and gardens. These spaces are known to improve air quality and reduce heat in cities. They also support the health of city residents.
Professor: Creating and maintaining urban green spaces can be challenging, however, especially in densely populated cities. An obvious issue is space. In areas where land is expensive or already developed, finding room for parks or gardens can be difficult. One way cities address this is by building green roofs. That's a layer of vegetation planted on top of a building. Green roofs help cool buildings, absorb rainwater, and add greenery without taking up ground space.
Professor: Cities also often repurpose unused lots, such as abandoned parking areas or vacant lots, turning them into small parks or gardens. Vertical gardens are another innovation. These are walls covered with plants, often using special structures that allow greenery to grow upward. They're useful in places where horizontal space is limited and can improve air quality and insulation.
Professor: Of course, cost and upkeep of green spaces are legitimate concerns. Many cities are adopting green space quotas, policies that require a minimum amount of greenery in new developments. Quotas mandate builders to include features like trees, rooftop gardens, or courtyards. Though they may raise construction costs, many urban planners support them because they ensure that green space is not overlooked in city growth. Quotas help balance development with environmental health and are a step toward more sustainable urban living.",,,,What is the main focus of the talk?,How parks benefit city residents.,Ways to overcome the difficulties of creating urban green spaces.,The problems caused by pollution in cities.,The history of using green spaces in urban planning.,Ways to overcome the difficulties of creating urban green spaces.,,,
9,Academic Talk,보통,Module 2,Talk: Urban Green Spaces,,"Professor: Listen to a talk in an environmental science class.
Professor: Today, we're revisiting the topic of urban green spaces, green areas in cities like parks and gardens. These spaces are known to improve air quality and reduce heat in cities. They also support the health of city residents.
Professor: Creating and maintaining urban green spaces can be challenging, however, especially in densely populated cities. An obvious issue is space. In areas where land is expensive or already developed, finding room for parks or gardens can be difficult. One way cities address this is by building green roofs. That's a layer of vegetation planted on top of a building. Green roofs help cool buildings, absorb rainwater, and add greenery without taking up ground space.
Professor: Cities also often repurpose unused lots, such as abandoned parking areas or vacant lots, turning them into small parks or gardens. Vertical gardens are another innovation. These are walls covered with plants, often using special structures that allow greenery to grow upward. They're useful in places where horizontal space is limited and can improve air quality and insulation.
Professor: Of course, cost and upkeep of green spaces are legitimate concerns. Many cities are adopting green space quotas, policies that require a minimum amount of greenery in new developments. Quotas mandate builders to include features like trees, rooftop gardens, or courtyards. Though they may raise construction costs, many urban planners support them because they ensure that green space is not overlooked in city growth. Quotas help balance development with environmental health and are a step toward more sustainable urban living.",,,,Why does the speaker mention parking lots?,To help explain why land is expensive in cities.,To encourage parking solutions that save space.,To provide an example of an area that can be repurposed.,To support reducing the number of cars in cities.,To provide an example of an area that can be repurposed.,,,
10,Academic Talk,보통,Module 2,Talk: Urban Green Spaces,,"Professor: Listen to a talk in an environmental science class.
Professor: Today, we're revisiting the topic of urban green spaces, green areas in cities like parks and gardens. These spaces are known to improve air quality and reduce heat in cities. They also support the health of city residents.
Professor: Creating and maintaining urban green spaces can be challenging, however, especially in densely populated cities. An obvious issue is space. In areas where land is expensive or already developed, finding room for parks or gardens can be difficult. One way cities address this is by building green roofs. That's a layer of vegetation planted on top of a building. Green roofs help cool buildings, absorb rainwater, and add greenery without taking up ground space.
Professor: Cities also often repurpose unused lots, such as abandoned parking areas or vacant lots, turning them into small parks or gardens. Vertical gardens are another innovation. These are walls covered with plants, often using special structures that allow greenery to grow upward. They're useful in places where horizontal space is limited and can improve air quality and insulation.
Professor: Of course, cost and upkeep of green spaces are legitimate concerns. Many cities are adopting green space quotas, policies that require a minimum amount of greenery in new developments. Quotas mandate builders to include features like trees, rooftop gardens, or courtyards. Though they may raise construction costs, many urban planners support them because they ensure that green space is not overlooked in city growth. Quotas help balance development with environmental health and are a step toward more sustainable urban living.",,,,"According to the talk, how are green roofs and vertical gardens similar?",They provide recreational areas for city residents.,They do not need additional land to be built.,They divert rainwater for later use.,They are both inexpensive to create and maintain.,They do not need additional land to be built.,,,
